"Parameter","Section","Gear","Fit count","No fit count","Total n","p-value"
"V_I_PPC","Sauk River",NA,122,0,122,1
"V_I_PPC","Skagit River",NA,121,0,121,1
"V_I_PPC","Total",NA,243,0,243,1
"T_I_PPC","Sauk River",NA,122,0,122,1
"T_I_PPC","Skagit River",NA,121,0,121,1
"T_I_PPC","Total",NA,243,0,243,1
"E_s_PPC","Sauk River","Bank Anglers",5,0,5,1
"E_s_PPC","Sauk River","Boat Anglers",5,0,5,1
"E_s_PPC","Skagit River","Bank Anglers",5,0,5,1
"E_s_PPC","Skagit River","Boat Anglers",5,0,5,1
"E_s_PPC","Total","Total",20,0,20,1
"c_PPC","Sauk River","Bank Anglers",676,12,688,0.982558139534884
"c_PPC","Sauk River","Boat Anglers",459,11,470,0.976595744680851
"c_PPC","Skagit River","Bank Anglers",256,7,263,0.973384030418251
"c_PPC","Skagit River","Boat Anglers",403,11,414,0.973429951690821
"c_PPC","Total","Total",1794,41,1835,0.977656675749319
"V_A_PPC",NA,"Bank Anglers",895,56,951,0.941114616193481
"V_A_PPC",NA,"Boat Anglers",818,66,884,0.925339366515837
"V_A_PPC",NA,"Total",1713,122,1835,0.933514986376022
"T_A_PPC",NA,"Bank Anglers",937,14,951,0.98527865404837
"T_A_PPC",NA,"Boat Anglers",883,1,884,0.998868778280543
"T_A_PPC",NA,"Total",1820,15,1835,0.991825613079019
