"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B1",0.528242527465045,0.00350618451373035,0.144114363852746,0.248250455955109,0.432768821062387,0.526432924391862,0.621972143852354,0.818073750267315,1689.44867921798,1.00179884875483
"sigma_eps_E",0.432145298977466,0.00353826762533451,0.0764521624368052,0.288250170040612,0.381836129444445,0.430042132783838,0.482006779336723,0.582536033373302,466.872388940347,1.00820915101181
"Lcorr_E[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"Lcorr_E[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[1,3]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[1,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[2,1]",0.439429258210013,0.0173064796912941,0.326921749347841,-0.289312473415504,0.240528259943376,0.4903743374742,0.693714246700659,0.91239353279787,356.83722565108,1.01653141346707
"Lcorr_E[2,2]",0.819495034704211,0.00747295358288759,0.168777444706036,0.409314076351608,0.719735110756196,0.86915849393387,0.961137237490027,0.999582735577533,510.086988269613,1.00747783807851
"Lcorr_E[2,3]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[2,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[3,1]",0.414071537626469,0.0144762623574061,0.313746281762331,-0.284674426017058,0.215532620724715,0.454893236377443,0.65548382941216,0.902795655538443,469.725659240785,1.01073207977869
"Lcorr_E[3,2]",0.587984448591815,0.0109815458644362,0.269212798656378,-0.0847181024359051,0.437128072209802,0.642561304091317,0.79635337508884,0.940671998684664,600.986125943643,1.0041352894263
"Lcorr_E[3,3]",0.5304268610085,0.00483689716020579,0.174941458711128,0.197715436815531,0.408724822000157,0.527665273034744,0.657017198522445,0.865363994662505,1308.13263204924,1.00317718288049
"Lcorr_E[3,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[4,1]",0.447589439611983,0.0163701223465221,0.31300579674977,-0.272339478449108,0.249644502154581,0.499607045105865,0.687097029728619,0.918992826364705,365.595558254194,1.01204043821213
"Lcorr_E[4,2]",0.652846928866857,0.0120497860035367,0.239511043905075,0.0628052417992916,0.520706742121131,0.704978353452204,0.839346378811295,0.966038160747055,395.086708017557,1.01392716079943
"Lcorr_E[4,3]",0.175417086141647,0.00988642449354159,0.235926722220626,-0.295758334932358,0.0150553241362119,0.188102974161421,0.341239684751777,0.6077418283771,569.476438543386,1.00453944021645
