"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B1",0.525655147972519,0.00341720298672306,0.148024531201193,0.241153972930553,0.426401146246591,0.525415283448587,0.623099854572853,0.824227881508494,1876.40177072116,1.00284876047087
"sigma_eps_E",0.431800724692251,0.00358797892178948,0.0761747489920529,0.291360176321828,0.379849885672869,0.429445644815103,0.480149166429213,0.593542296380623,450.736053233061,1.00924440830343
"Lcorr_E[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"Lcorr_E[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[1,3]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[1,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[2,1]",0.427248356466654,0.0177562590984129,0.322849003630011,-0.30824963928036,0.227810613684238,0.472619426022128,0.672257925486904,0.912050430874515,330.594750892426,1.01478306909913
"Lcorr_E[2,2]",0.827822913468738,0.00779724799625431,0.167241253782703,0.410078053967551,0.739377349818721,0.877624198680582,0.96409116490109,0.99957720837621,460.049046139204,1.01227646855691
"Lcorr_E[2,3]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[2,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[3,1]",0.393638895565901,0.014437001814721,0.31901969131274,-0.311182891035769,0.186522843022165,0.423581564658466,0.640190509496659,0.901173478420715,488.293517618378,1.00865771034005
"Lcorr_E[3,2]",0.592653937643122,0.0130887092449565,0.274206004651908,-0.068148270069386,0.442478903254441,0.653208494833588,0.803534208477058,0.944915171178586,438.894644115049,1.01278530861583
"Lcorr_E[3,3]",0.533492642397352,0.00530050931695057,0.179680678092672,0.197550531238885,0.403475071510471,0.535037938598016,0.663648008160934,0.874384363201715,1149.12573613627,1.00150017962734
"Lcorr_E[3,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[4,1]",0.438267240075534,0.0154229634291505,0.308939206446032,-0.24699864259088,0.234568201814887,0.468557896928239,0.679401100673787,0.918742951476148,401.245704141425,1.01086822040184
"Lcorr_E[4,2]",0.658499888142374,0.0125970167073358,0.247893772050319,0.0180113010697072,0.528729516306044,0.716561029270574,0.847641281980544,0.961002331508407,387.253918666447,1.02014528540656
"Lcorr_E[4,3]",0.179219853562984,0.00926918378647681,0.237202811072551,-0.313761914181311,0.0267902760771134,0.186781909129587,0.342972412202524,0.621581233634418,654.872383748685,1.00830478925535
"Lcorr_E[4,4]",0.321441467067149,0.00499816960729984,0.160484113294749,0.0548746498649395,0.198509550743808,0.306759192475493,0.427588985205596,0.666168718666819,1030.96071182184,1.00352626639236
"sigma_r_E",0.586041591054715,0.00202820372026613,0.0345838837863875,0.520306423609219,0.562703714834643,0.584700208294295,0.609021103354843,0.656148208003471,290.753115035152,1.01753510895076
"phi_E_scaled",0.87666160168805,0.00414917923011173,0.0701675774799712,0.71207535837388,0.832109320711836,0.886522400189667,0.92940891432115,0.981693806058315,285.988503526791,1.02067533267963
"eps_E[1,1]",-0.491837894099751,0.025801630331587,0.904637590490495,-2.23647962295028,-1.12071782365643,-0.514275832592888,0.115876207128564,1.34270973371869,1229.29173811438,1.00341294494623
"eps_E[1,2]",-0.668248949920538,0.0198149924909305,0.869164825177621,-2.31856092724616,-1.26649488281925,-0.678535067408878,-0.0905378970133235,1.05950074061717,1924.05047189502,1.00118183128048
"eps_E[1,3]",-0.215566256652188,0.0153711879751013,0.956669566811613,-2.06618589764963,-0.875205532477448,-0.221429007989932,0.433258852171797,1.64778995350603,3873.5489627666,1.0014056670335
"eps_E[1,4]",-0.159690674047113,0.0164570362586414,1.01064002118229,-2.12463182395354,-0.858492763692079,-0.147442529285442,0.498989097177775,1.86798813021953,3771.28828892953,1.00040713353077
"eps_E[2,1]",-0.0275346058795179,0.0164421198968328,1.00871020932623,-1.96553892429931,-0.703666173110974,-0.0382401476597426,0.641404966935501,1.99069391666459,3763.71917179078,1.00166100935187
"eps_E[2,2]",0.0776678102168384,0.0177938888306904,1.00329362095493,-1.90663650306138,-0.611664375699434,0.083583584786178,0.735603533595092,2.06632729025154,3179.1744248302,1.00137583458263
"eps_E[2,3]",0.199155811069731,0.0136283080667193,0.984775156884792,-1.77180887958422,-0.464007453675095,0.215404299332619,0.87673711280997,2.09612484849945,5221.43990157057,0.99985371791624
"eps_E[2,4]",0.177725431556965,0.0135652665935093,0.996100050405797,-1.79567540676943,-0.52263461298301,0.17085798440055,0.877060392341461,2.10500114153829,5391.99223012087,1.00053764279332
"eps_E[3,1]",-0.0263078228534031,0.0154706570406352,0.97903959693451,-1.8844871245097,-0.705342847854486,-0.0346245343778896,0.661550914139529,1.87275004448925,4004.8199605784,0.999705603090092
"eps_E[3,2]",0.0541038461279244,0.0209646088978621,0.968311273441396,-1.83237994089536,-0.614812341391908,0.0766758410017336,0.717948997940298,1.92749779573008,2133.32216866109,1.0024761791026
"eps_E[3,3]",0.25647713319784,0.0140437787000073,0.989654549545367,-1.70272235363203,-0.407696216903606,0.277917726829133,0.922773975650344,2.10634660083584,4965.91516936824,0.999754649239815
"eps_E[3,4]",0.25357658033631,0.014987098689144,0.988905000797565,-1.73934741303873,-0.394330768668702,0.283812461473521,0.912823937105076,2.1318337991746,4353.85550768837,1.00035547892797
"eps_E[4,1]",-0.0307280938687254,0.015313696824049,0.978150871905054,-1.94159489168061,-0.694038216565442,-0.0326204018834583,0.638471931093686,1.94036027006295,4079.91958400111,0.9997800042789
"eps_E[4,2]",0.0458710884531097,0.0217251538536314,0.955986353531458,-1.88993077875254,-0.580973828565879,0.0420933162412536,0.69494530496822,1.90284935979524,1936.32237659112,1.00116202219165
"eps_E[4,3]",0.330888378747873,0.01434567545417,0.980192266227911,-1.59177875469767,-0.348677727673845,0.330411334017874,1.01375791747249,2.21941951539919,4668.53415281822,0.999784771234759
"eps_E[4,4]",0.32113926976536,0.0144166239083189,1.01351068114475,-1.68861495154058,-0.363680342818701,0.332628672549726,1.01437921298619,2.26310979122083,4942.30475905033,0.999757653809128
"eps_E[5,1]",-0.08048335094586,0.0158651504732118,0.919239202225937,-1.92564781657356,-0.676434613349233,-0.0725752228857144,0.526595387743208,1.722684961921,3357.13405267773,1.0003563768935
"eps_E[5,2]",-0.00767987811370793,0.0264646114194427,0.941357359783088,-1.84469113746706,-0.651556438368928,-0.015600014598009,0.623364439038172,1.79773300200519,1265.25482321452,1.00689940926061
