"Parameter","Section","Gear","Fit count","No fit count","Total n","2.5% Q > Pr.(obs) < 97.5% Q"
"V_I_PPC","Sauk River",NA,122,0,122,1
"V_I_PPC","Skagit River",NA,121,0,121,1
"V_I_PPC","Total",NA,243,0,243,1
"T_I_PPC","Sauk River",NA,122,0,122,1
"T_I_PPC","Skagit River",NA,121,0,121,1
"T_I_PPC","Total",NA,243,0,243,1
"E_s_PPC","Sauk River","Bank Anglers",5,0,5,1
"E_s_PPC","Sauk River","Boat Anglers",5,0,5,1
"E_s_PPC","Skagit River","Bank Anglers",5,0,5,1
"E_s_PPC","Skagit River","Boat Anglers",5,0,5,1
"E_s_PPC","Total","Total",20,0,20,1
"c_PPC","Sauk River","Bank Anglers",680,8,688,0.988372093023256
"c_PPC","Sauk River","Boat Anglers",459,11,470,0.976595744680851
"c_PPC","Skagit River","Bank Anglers",257,6,263,0.977186311787072
"c_PPC","Skagit River","Boat Anglers",400,14,414,0.966183574879227
"c_PPC","Total","Total",1796,39,1835,0.97874659400545
"V_A_PPC",NA,"Bank Anglers",887,64,951,0.932702418506835
"V_A_PPC",NA,"Boat Anglers",817,67,884,0.92420814479638
"V_A_PPC",NA,"Total",1704,131,1835,0.928610354223433
"T_A_PPC",NA,"Bank Anglers",941,10,951,0.989484752891693
"T_A_PPC",NA,"Boat Anglers",884,0,884,1
"T_A_PPC",NA,"Total",1825,10,1835,0.994550408719346
